,A�o,Equipo,Nombre ,Nacionalidad,Edad,Posicion 
228,2014,Real Madrid,Diego Lopez,España,32,Portero
229,2014,Real Madrid,Jesús Fernández,España,26,Portero
230,2014,Real Madrid,Sergio Ramos,España,28,Defensa central 
231,2014,Real Madrid,Raphaël Varane ,Francia,21,Defensa central 
232,2014,Real Madrid,Pepe,Portugal,31,Defensa central 
233,2014,Real Madrid,Nacho Fernández,España,24,Defensa central 
234,2014,Real Madrid,Diego Llorente,España,20,Defensa central 
235,2014,Real Madrid,Marcelo,Brasil,26,Lateral izquierdo
236,2014,Real Madrid,Fábio Coentrão,Portugal,26,Lateral izquierdo
237,2014,Real Madrid,Daniel Carvajal,España,22,Lateral derecho
238,2014,Real Madrid,Álvaro Arbeloa,España,31,Lateral derecho
239,2014,Real Madrid,Lucas Vázquez,España,22,Lateral derecho
240,2014,Real Madrid,Asier Illaramendi,España,24,Mediocampista defensivo
241,2014,Real Madrid,Xabi Alonso,España,32,Mediocampista defensivo
242,2014,Real Madrid,Casemiro,Brasil,22,Mediocampista defensivo
243,2014,Real Madrid,Omar Mascarell,Guinea ecuatorial,21,Mediocampista defensivo
244,2014,Real Madrid,Luka Modric,Croacia,28,Mediocampista
245,2014,Real Madrid,Sami Khedira,Alemania,27,Mediocampista
246,2014,Real Madrid,José Rodríguez,España,19,Mediocampista
247,2014,Real Madrid,Isco,España,22,Mediocampista ofensivo
248,2014,Real Madrid,Jesé Rodríguez,España,21,Extremo izquierdo
249,2014,Real Madrid,Burgui,España,20,Extremo izquierdo
250,2014,Real Madrid,Gareth Bale,Gales,24,Extremo derecho
251,2014,Real Madrid,Ángel Di María,Argentina,26,Extremo derecho
252,2014,Real Madrid,Cristiano Ronaldo,Portugal,29,Extremo izquierdo
253,2014,Real Madrid,Karim Benzema,Francia,26,Delantero centro
254,2014,Real Madrid,Álvaro Morata,España,21,Delantero centro
255,2014,Real Madrid,Willian José,Brasil,22,Delantero centro
256,2014,Real Madrid,Raúl De Tomás,España,19,Delantero centro
257,2014,Atletico de Madrid,Thibaut Courtois,Belgica,22,Portero
258,2014,Atletico de Madrid,Daniel Aranzubia,España,34,Portero
259,2014,Atletico de Madrid,Bono,Marruecos,23,Portero
260,2014,Atletico de Madrid,David Gil,España,20,Portero
261,2014,Atletico de Madrid,Diego Godín,Uruguay,28,Defensa central 
262,2014,Atletico de Madrid,Miranda,Brasil,29,Defensa central 
263,2014,Atletico de Madrid,Toby Alderweireld,Belgica,25,Defensa central 
264,2014,Atletico de Madrid,Martín Demichelis,Argentina,33,Defensa central 
265,2014,Atletico de Madrid,José María Giménez,Uruguay,19,Defensa central 
266,2014,Atletico de Madrid,Filipe Luís,Brasil,28,Lateral izquierdo
267,2014,Atletico de Madrid,Emiliano Insúa,Argentina,25,Lateral izquierdo
268,2014,Atletico de Madrid,Lucas Hernández,Francia,18,Defensa central 
269,2014,Atletico de Madrid,Juanfran Torres,España,29,Lateral derecho
270,2014,Atletico de Madrid,Javier Manquillo,España,20,Lateral derecho
271,2014,Atletico de Madrid,Mario Suárez,España,27,Mediocampista defensivo
272,2014,Atletico de Madrid,Josuha Guilavogui,Francia,23,Mediocampista defensivo
273,2014,Atletico de Madrid,Koké,España,22,Mediocampista
274,2014,Atletico de Madrid,Gabi,España,30,Mediocampista
275,2014,Atletico de Madrid,Óliver Torres,España,19,Mediocampista
276,2014,Atletico de Madrid,Tiago Mendes,Portugal,33,Mediocampista
277,2014,Atletico de Madrid,Carlos Ramos,España,19,Mediocampista
278,2014,Atletico de Madrid,Cristian Rodríguez,Uruguay,28,Mediocampista
279,2014,Atletico de Madrid,Diego,Brasil,29,Mediocampista ofensivo
280,2014,Atletico de Madrid,José Sosa,Argentina,29,Mediocampista ofensivo
281,2014,Atletico de Madrid,Samu Saiz,España,23,Mediocampista ofensivo
282,2014,Atletico de Madrid,Arda Turan,Turquía,27,Extremo izquierdo
283,2014,Atletico de Madrid,Momar Ndoye,Senegal,22,Extremo izquierdo
284,2014,Atletico de Madrid,Diego Costa,España,25,Delantero centro
285,2014,Atletico de Madrid,Raúl García ,España,27,Delantero centro
286,2014,Atletico de Madrid,David Villa,España,32,Delantero centro
287,2014,Atletico de Madrid,Adrián López,España,26,Delantero centro
288,2014,Atletico de Madrid,Léo Baptistão,Brasil,21,Delantero centro
289,2014,Atletico de Madrid,Rubén Mesa,España,22,Delantero centro
290,2014,Atletico de Madrid,Héctor Hernández,España,18,Delantero centro
291,2015,Barcelona,Marc-André Ter Stegen,Alemania,23,Portero
292,2015,Barcelona,Claudio Bravo,Chile,32,Portero
293,2015,Barcelona,Jordi Masip,España,26,Portero
294,2015,Barcelona,Gerard Piqué,España,28,Defensa central 
295,2015,Barcelona,Marc Bartra,España,24,Defensa central 
296,2015,Barcelona,Thomas Vermaelen,Belgica,29,Defensa central 
297,2015,Barcelona,Edgar Ié,Guinea-bissau,21,Defensa central 
298,2015,Barcelona,Jordi Alba,España,26,Lateral izquierdo
299,2015,Barcelona,Jérémy Mathieu,Francia,31,Lateral izquierdo
300,2015,Barcelona,Adriano,Brasil,30,Lateral izquierdo
301,2015,Barcelona,Martín Montoya,España,24,Lateral derecho
302,2015,Barcelona,Dani Alves,Brasil,32,Lateral derecho
303,2015,Barcelona,Douglas,Brasil,24,Lateral derecho
304,2015,Barcelona,Sergio Busquets,España,26,Mediocampista defensivo
305,2015,Barcelona,Javier Mascherano,Argentina,31,Mediocampista defensivo
306,2015,Barcelona,Sergi Samper,España,20,Mediocampista defensivo
307,2015,Barcelona,Diawandou Diagne,Senegal,20,Mediocampista defensivo
308,2015,Barcelona,Gerard Gumbau,España,20,Mediocampista defensivo
309,2015,Barcelona,Andrés Iniesta,España,31,Mediocampista
310,2015,Barcelona,Ivan Rakitic,Croacia,27,Mediocampista
311,2015,Barcelona,Sergi Roberto,España,23,Mediocampista
312,2015,Barcelona,Xavi,España,35,Mediocampista
313,2015,Barcelona,Rafinha,Brasil,22,Mediocampista ofensivo
314,2015,Barcelona,Alen Halilovic,Croacia,19,Mediocampista ofensivo
315,2015,Barcelona,Neymar,Brasil,23,Extremo izquierdo
316,2015,Barcelona,Lionel Messi,Argentina,28,Extremo derecho
317,2015,Barcelona,Pedro,España,27,Extremo derecho
318,2015,Barcelona,Munir El Haddadi,Marruecos,19,Extremo derecho
319,2015,Barcelona,Adama Traoré,España,19,Extremo derecho
320,2015,Barcelona,Luis Suárez,Uruguay,28,Delantero centro
321,2015,Barcelona,Sandro Ramírez,España,19,Delantero centro
322,2015,Juventus,Gianluigi Buffon ,Italia,37,Portero
323,2015,Juventus,Marco Storari,Italia,38,Portero
324,2015,Juventus,Emil Audero,Italia,18,Portero
325,2015,Juventus,Rubinho,Brasil,32,Portero
326,2015,Juventus,Giacomo Volpe,Italia,19,Portero
327,2015,Juventus,Mattia Del Favero,Italia,17,Portero
328,2015,Juventus,Leonardo Bonucci,Italia,28,Defensa central 
329,2015,Juventus,Giorgio Chiellini,Italia,30,Defensa central 
330,2015,Juventus,Angelo Ogbonna,Italia,27,Defensa central 
331,2015,Juventus,Martín Cáceres,Uruguay,28,Defensa central 
332,2015,Juventus,Luca Marrone,Italia,25,Defensa central 
333,2015,Juventus,Andrea Barzagli,Italia,34,Defensa central 
334,2015,Juventus,Filippo Romagna,Italia,18,Defensa central 
335,2015,Juventus,Patrice Evra,Francia,34,Lateral izquierdo
336,2015,Juventus,Paolo De Ceglie,Italia,28,Lateral izquierdo
