,Año,Equipo,Nombre,Nacionalidad,Edad,Posicion,season,winner-country,winner,score,runner-up,runner-up-country,stadium,final-city,final-country,attendance,winning-way,year,winner_score,runner_up_score
58,2011,Barcelona,Ibrahim Afellay,Paises Bajos,25,Mediocampista ofensivo,2010–11,España,Barcelona,3–1,Manchester United,Inglaterra,Wembley Stadium,Londres,Inglaterra,87695,normal time,2011,3,1
59,2011,Barcelona,VÃ­ctor VÃ¡zquez,EspaÃ±a,24,Mediocampista ofensivo,2010–11,España,Barcelona,3–1,Manchester United,Inglaterra,Wembley Stadium,Londres,Inglaterra,87695,normal time,2011,3,1
60,2011,Barcelona,Nolito,EspaÃ±a,24,Extremo izquierdo,2010–11,España,Barcelona,3–1,Manchester United,Inglaterra,Wembley Stadium,Londres,Inglaterra,87695,normal time,2011,3,1
61,2011,Barcelona,Lionel Messi,Argentina,24,Extremo derecho,2010–11,España,Barcelona,3–1,Manchester United,Inglaterra,Wembley Stadium,Londres,Inglaterra,87695,normal time,2011,3,1
62,2011,Barcelona,Pedro,EspaÃ±a,23,Extremo derecho,2010–11,España,Barcelona,3–1,Manchester United,Inglaterra,Wembley Stadium,Londres,Inglaterra,87695,normal time,2011,3,1
63,2011,Barcelona,JeffrÃ©n,Venezuela,23,Extremo derecho,2010–11,España,Barcelona,3–1,Manchester United,Inglaterra,Wembley Stadium,Londres,Inglaterra,87695,normal time,2011,3,1
64,2011,Barcelona,Bojan Krkic,EspaÃ±a,20,Mediocampista ofensivo,2010–11,España,Barcelona,3–1,Manchester United,Inglaterra,Wembley Stadium,Londres,Inglaterra,87695,normal time,2011,3,1
65,2011,Barcelona,David Villa,EspaÃ±a,29,Delantero centro,2010–11,España,Barcelona,3–1,Manchester United,Inglaterra,Wembley Stadium,Londres,Inglaterra,87695,normal time,2011,3,1
66,2011,Barcelona,Oriol Romeu,EspaÃ±a,19,Mediocampista defensivo,2010–11,España,Barcelona,3–1,Manchester United,Inglaterra,Wembley Stadium,Londres,Inglaterra,87695,normal time,2011,3,1
67,2011,Manchester United,Anders Lindegaard,Dinamarca,27,Portero,2010–11,España,Barcelona,3–1,Manchester United,Inglaterra,Wembley Stadium,Londres,Inglaterra,87695,normal time,2011,3,1
68,2011,Manchester United,Tomasz Kuszczak,Polonia,29,Portero,2010–11,España,Barcelona,3–1,Manchester United,Inglaterra,Wembley Stadium,Londres,Inglaterra,87695,normal time,2011,3,1
69,2011,Manchester United,Edwin van der Sar,Paises Bajos,40,Portero,2010–11,España,Barcelona,3–1,Manchester United,Inglaterra,Wembley Stadium,Londres,Inglaterra,87695,normal time,2011,3,1
70,2011,Manchester United,Ben Amos,Inglaterra,21,Portero,2010–11,España,Barcelona,3–1,Manchester United,Inglaterra,Wembley Stadium,Londres,Inglaterra,87695,normal time,2011,3,1
71,2011,Manchester United,Nemanja Vidic,Serbia,29,Defensa central ,2010–11,España,Barcelona,3–1,Manchester United,Inglaterra,Wembley Stadium,Londres,Inglaterra,87695,normal time,2011,3,1
72,2011,Manchester United,Rio Ferdinand,Inglaterra,32,Defensa central ,2010–11,España,Barcelona,3–1,Manchester United,Inglaterra,Wembley Stadium,Londres,Inglaterra,87695,normal time,2011,3,1
73,2011,Manchester United,Jonny Evans,Irlanda del norte,23,Defensa central ,2010–11,España,Barcelona,3–1,Manchester United,Inglaterra,Wembley Stadium,Londres,Inglaterra,87695,normal time,2011,3,1
74,2011,Manchester United,John O'Shea,Irlanda,30,Defensa central ,2010–11,España,Barcelona,3–1,Manchester United,Inglaterra,Wembley Stadium,Londres,Inglaterra,87695,normal time,2011,3,1
75,2011,Manchester United,Wes Brown,Inglaterra,31,Defensa central ,2010–11,España,Barcelona,3–1,Manchester United,Inglaterra,Wembley Stadium,Londres,Inglaterra,87695,normal time,2011,3,1
76,2011,Manchester United,Chris Smalling,Inglaterra,21,Defensa central ,2010–11,España,Barcelona,3–1,Manchester United,Inglaterra,Wembley Stadium,Londres,Inglaterra,87695,normal time,2011,3,1
77,2011,Manchester United,Oliver Gill,Inglaterra,20,Defensa central ,2010–11,España,Barcelona,3–1,Manchester United,Inglaterra,Wembley Stadium,Londres,Inglaterra,87695,normal time,2011,3,1
78,2011,Manchester United,Patrice Evra,Francia,30,Lateral izquierdo,2010–11,España,Barcelona,3–1,Manchester United,Inglaterra,Wembley Stadium,Londres,Inglaterra,87695,normal time,2011,3,1
79,2011,Manchester United,Antonio Valencia,Ecuador,25,Lateral derecho,2010–11,España,Barcelona,3–1,Manchester United,Inglaterra,Wembley Stadium,Londres,Inglaterra,87695,normal time,2011,3,1
80,2011,Manchester United,Rafael,Brasil,20,Lateral derecho,2010–11,España,Barcelona,3–1,Manchester United,Inglaterra,Wembley Stadium,Londres,Inglaterra,87695,normal time,2011,3,1
81,2011,Manchester United,FÃ¡bio,Brasil,20,Lateral derecho,2010–11,España,Barcelona,3–1,Manchester United,Inglaterra,Wembley Stadium,Londres,Inglaterra,87695,normal time,2011,3,1
82,2011,Manchester United,Gary Neville,Inglaterra,36,Lateral derecho,2010–11,España,Barcelona,3–1,Manchester United,Inglaterra,Wembley Stadium,Londres,Inglaterra,87695,normal time,2011,3,1
83,2011,Manchester United,Michael Carrick,Inglaterra,29,Mediocampista defensivo,2010–11,España,Barcelona,3–1,Manchester United,Inglaterra,Wembley Stadium,Londres,Inglaterra,87695,normal time,2011,3,1
84,2011,Manchester United,Owen Hargreaves,Inglaterra,30,Mediocampista defensivo,2010–11,España,Barcelona,3–1,Manchester United,Inglaterra,Wembley Stadium,Londres,Inglaterra,87695,normal time,2011,3,1
85,2011,Manchester United,Darren Fletcher,Escocia,27,Mediocampista,2010–11,España,Barcelona,3–1,Manchester United,Inglaterra,Wembley Stadium,Londres,Inglaterra,87695,normal time,2011,3,1
86,2011,Manchester United,Anderson,Brasil,23,Mediocampista,2010–11,España,Barcelona,3–1,Manchester United,Inglaterra,Wembley Stadium,Londres,Inglaterra,87695,normal time,2011,3,1
87,2011,Manchester United,Paul Scholes,Inglaterra,36,Mediocampista,2010–11,España,Barcelona,3–1,Manchester United,Inglaterra,Wembley Stadium,Londres,Inglaterra,87695,normal time,2011,3,1
88,2011,Manchester United,Darron Gibson,Irlanda,23,Mediocampista,2010–11,España,Barcelona,3–1,Manchester United,Inglaterra,Wembley Stadium,Londres,Inglaterra,87695,normal time,2011,3,1
89,2011,Manchester United,Tom Cleverley,Inglaterra,21,Mediocampista,2010–11,España,Barcelona,3–1,Manchester United,Inglaterra,Wembley Stadium,Londres,Inglaterra,87695,normal time,2011,3,1
90,2011,Manchester United,Corry Evans,Irlanda del norte,20,Mediocampista,2010–11,España,Barcelona,3–1,Manchester United,Inglaterra,Wembley Stadium,Londres,Inglaterra,87695,normal time,2011,3,1
91,2011,Manchester United,Paul Pogba,Francia,18,Mediocampista,2010–11,España,Barcelona,3–1,Manchester United,Inglaterra,Wembley Stadium,Londres,Inglaterra,87695,normal time,2011,3,1
92,2011,Manchester United,Ryan Tunnicliffe,Inglaterra,18,Mediocampista,2010–11,España,Barcelona,3–1,Manchester United,Inglaterra,Wembley Stadium,Londres,Inglaterra,87695,normal time,2011,3,1
93,2011,Manchester United,Ryan Giggs,Gales,37,Extremo izquierdo,2010–11,España,Barcelona,3–1,Manchester United,Inglaterra,Wembley Stadium,Londres,Inglaterra,87695,normal time,2011,3,1
94,2011,Manchester United,Robbie Brady,Irlanda,19,Extremo izquierdo,2010–11,España,Barcelona,3–1,Manchester United,Inglaterra,Wembley Stadium,Londres,Inglaterra,87695,normal time,2011,3,1
95,2011,Manchester United,Ji-sung Park,Corea del sur,30,Mediocampista ofensivo,2010–11,España,Barcelona,3–1,Manchester United,Inglaterra,Wembley Stadium,Londres,Inglaterra,87695,normal time,2011,3,1
96,2011,Manchester United,Magnus Wolff Eikrem,Noruega,20,Mediocampista ofensivo,2010–11,España,Barcelona,3–1,Manchester United,Inglaterra,Wembley Stadium,Londres,Inglaterra,87695,normal time,2011,3,1
97,2011,Manchester United,Nani,Portugal,24,Extremo izquierdo,2010–11,España,Barcelona,3–1,Manchester United,Inglaterra,Wembley Stadium,Londres,Inglaterra,87695,normal time,2011,3,1
98,2011,Manchester United,BebÃ©,Portugal,20,Extremo izquierdo,2010–11,España,Barcelona,3–1,Manchester United,Inglaterra,Wembley Stadium,Londres,Inglaterra,87695,normal time,2011,3,1
99,2011,Manchester United,Joshua King,Noruega,19,Extremo izquierdo,2010–11,España,Barcelona,3–1,Manchester United,Inglaterra,Wembley Stadium,Londres,Inglaterra,87695,normal time,2011,3,1
100,2011,Manchester United,Gabriel Obertan,Francia,22,Extremo derecho,2010–11,España,Barcelona,3–1,Manchester United,Inglaterra,Wembley Stadium,Londres,Inglaterra,87695,normal time,2011,3,1
101,2011,Manchester United,Wayne Rooney,Inglaterra,25,Delantero centro,2010–11,España,Barcelona,3–1,Manchester United,Inglaterra,Wembley Stadium,Londres,Inglaterra,87695,normal time,2011,3,1
