Año,Equipo,Nombre ,Nacionalidad,Edad,Posicion 
2015,Juventus,Fernando Llorente,España,30,Delantero centro
2015,Juventus,Alessandro Matri,Italia,30,Delantero centro
2016,Real Madrid,Keylor Navas,Costa Rica,29,Portero
2016,Real Madrid,Kiko Casilla,España,29,Portero
2016,Real Madrid,Rubén Yáñez,España,22,Portero
2016,Real Madrid,Álex Craninx,Belgica,20,Portero
2016,Real Madrid,Sergio Ramos,España,30,Defensa central 
2016,Real Madrid,Raphaël Varane ,Francia,23,Defensa central 
2016,Real Madrid,Danilo,Brasil,24,Lateral derecho
2016,Real Madrid,Pepe,Portugal,33,Defensa central 
2016,Real Madrid,Nacho Fernández,España,26,Defensa central 
2016,Real Madrid,Philipp Lienhart,Austria,19,Defensa central 
2016,Real Madrid,Marcelo,Brasil,28,Lateral Izquierdo
2016,Real Madrid,Daniel Carvajal,España,24,Lateral derecho
2016,Real Madrid,Lucas Vázquez,España,24,Lateral derecho
2016,Real Madrid,Álvaro Arbeloa,España,33,Lateral derecho
2016,Real Madrid,Álvaro Tejero,España,19,Lateral derecho
2016,Real Madrid,Casemiro,Brasil,24,Mediocampista defensivo
2016,Real Madrid,Toni Kroos,Alemania,26,Mediocampista
2016,Real Madrid,Luka Modric,Croacia,30,Mediocampista
2016,Real Madrid,Mateo Kovacic,Croacia,22,Mediocampista
2016,Real Madrid,Marcos Llorente,España,21,Mediocampista defensivo
2016,Real Madrid,James Rodríguez,Colombia,24,Mediocampista ofensivo
2016,Real Madrid,Isco,España,24,Mediocampista ofensivo
2016,Real Madrid,Martin Ødegaard,Noruega,17,Mediocampista ofensivo
2016,Real Madrid,Jesé Rodríguez,España,23,Extremo izquierdo
2016,Real Madrid,Denis Cheryshev,Rusia,25,Extremo izquierdo
2016,Real Madrid,José Carlos Lazo,España,20,Extremo izquierdo
2016,Real Madrid,Gareth Bale,Gales,26,Extremo derecho
2016,Real Madrid,Cristiano Ronaldo,Portugal,31,Extremo izquierdo
2016,Real Madrid,Karim Benzema,Francia,28,Delantero centro
2016,Real Madrid,Borja Mayoral,España,19,Delantero centro
2016,Atletico de Madrid,Jan Oblak,Eslovenia,23,Portero
2016,Atletico de Madrid,Miguel Ángel Moyá,España,32,Portero
